,uid,date,app usage in morning,app usage in afternoon,app usage in evening,app usage in night
0,u00,2013-03-24,18,10,15,26
1,u00,2013-03-25,11,19,19,26
2,u00,2013-03-26,10,12,14,11
3,u00,2013-03-27,14,20,18,15
4,u00,2013-03-28,17,33,20,17
5,u00,2013-03-29,14,23,16,10
6,u00,2013-03-30,14,2,5,17
7,u00,2013-03-31,7,11,13,9
8,u00,2013-04-01,11,18,18,10
9,u00,2013-04-02,15,5,17,15
10,u00,2013-04-03,15,22,20,22
11,u00,2013-04-04,17,31,14,17
12,u00,2013-04-05,13,27,22,15
13,u00,2013-04-06,19,22,26,20
14,u00,2013-04-07,20,22,18,35
15,u00,2013-04-08,8,24,20,8
16,u00,2013-04-09,19,27,29,19
17,u00,2013-04-10,25,33,34,30
18,u00,2013-04-11,33,40,40,31
19,u00,2013-04-12,38,49,33,45
20,u00,2013-04-13,31,36,15,31
21,u00,2013-04-14,9,18,9,9
22,u00,2013-04-15,18,26,23,13
23,u00,2013-04-16,21,28,25,21
24,u00,2013-04-17,14,16,26,8
25,u00,2013-04-18,10,20,15,9
26,u00,2013-04-19,17,42,25,23
27,u00,2013-04-20,2,7,18,13
28,u00,2013-04-21,18,21,34,20
29,u00,2013-04-22,23,32,28,21
30,u00,2013-04-23,4,11,15,15
31,u00,2013-04-24,6,8,9,14
32,u00,2013-04-25,9,24,19,9
33,u00,2013-04-26,10,21,20,27
34,u00,2013-04-27,17,19,21,19
35,u00,2013-04-28,0,4,4,24
36,u00,2013-04-29,18,25,20,12
37,u00,2013-04-30,5,6,6,3
38,u00,2013-05-01,5,18,30,11
39,u00,2013-05-02,9,8,4,12
40,u00,2013-05-03,7,12,10,4
41,u00,2013-05-04,9,0,14,9
42,u00,2013-05-05,19,17,17,14
43,u00,2013-05-06,9,17,20,5
44,u00,2013-05-07,22,21,25,17
45,u00,2013-05-08,19,10,8,20
46,u00,2013-05-09,7,5,17,14
47,u00,2013-05-10,9,10,12,9
48,u00,2013-05-11,10,12,14,10
49,u00,2013-05-12,14,18,9,14
50,u00,2013-05-13,9,14,12,9
51,u00,2013-05-14,13,13,12,11
52,u00,2013-05-15,12,19,21,11
53,u00,2013-05-16,11,12,19,8
54,u00,2013-05-17,8,8,9,9
55,u00,2013-05-18,8,0,0,8
56,u00,2013-05-19,0,5,7,0
57,u00,2013-05-20,3,5,5,3
58,u00,2013-05-22,0,0,10,0
59,u00,2013-05-23,0,13,10,8
60,u00,2013-05-24,10,11,16,10
61,u00,2013-05-25,1,26,17,11
62,u00,2013-05-26,10,11,12,14
63,u00,2013-05-27,14,16,17,14
64,u00,2013-05-28,15,20,17,15
65,u00,2013-05-29,17,7,12,16
66,u00,2013-05-30,0,6,9,9
67,u00,2013-05-31,10,14,14,11
68,u00,2013-06-01,0,11,7,12
69,u00,2013-06-02,11,16,9,10
70,u00,2013-06-03,7,9,17,7
71,u00,2013-06-04,7,9,13,7
72,u00,2013-06-05,13,24,17,13
73,u00,2013-06-06,19,6,6,14
74,u00,2013-06-07,5,9,13,5
75,u00,2013-06-08,6,11,15,4
76,u00,2013-06-09,10,0,0,10
77,u00,2013-06-10,0,8,13,0
78,u00,2013-06-11,12,15,14,13
79,u00,2013-06-12,12,21,19,12
80,u00,2013-06-13,0,0,5,8
81,u00,2013-06-14,6,10,10,6
82,u00,2013-06-15,6,6,11,17
83,u00,2013-06-20,0,0,1,0
84,u01,2013-03-24,7,6,6,6
85,u01,2013-03-25,6,6,6,6
86,u01,2013-03-26,6,7,16,6
87,u01,2013-03-27,12,22,20,14
88,u01,2013-03-28,9,9,9,9
89,u01,2013-03-29,10,12,12,10
90,u01,2013-03-30,12,13,14,13
91,u01,2013-03-31,13,13,13,13
92,u01,2013-04-01,13,13,13,13
93,u01,2013-04-02,3,4,4,15
94,u01,2013-04-03,5,6,6,4
95,u01,2013-04-04,6,6,6,6
96,u01,2013-04-05,6,8,8,6
97,u01,2013-04-06,8,8,8,8
98,u01,2013-04-07,8,8,8,8
99,u01,2013-04-08,11,11,12,8
100,u01,2013-04-09,11,11,11,18
101,u01,2013-04-10,11,11,11,11
102,u01,2013-04-11,12,12,14,12
103,u01,2013-04-12,2,5,5,16
104,u01,2013-04-13,5,5,5,5
105,u01,2013-04-14,5,5,5,5
106,u01,2013-04-15,5,6,9,5
107,u01,2013-04-16,6,6,8,13
108,u01,2013-04-17,11,14,12,20
109,u01,2013-04-18,12,12,13,12
110,u01,2013-04-19,13,13,13,13
111,u01,2013-04-20,13,13,14,13
112,u01,2013-04-21,2,2,2,2
113,u01,2013-04-22,5,5,5,5
114,u01,2013-04-23,9,9,12,11
115,u01,2013-04-24,2,4,6,11
116,u01,2013-04-25,3,4,12,8
117,u01,2013-04-26,12,14,6,12
118,u01,2013-04-27,7,7,7,7
119,u01,2013-04-28,7,7,6,7
120,u01,2013-04-29,7,7,7,9
121,u01,2013-04-30,8,9,13,8
122,u01,2013-05-01,6,6,6,6
123,u01,2013-05-02,7,7,7,7
124,u01,2013-05-03,7,7,8,7
125,u01,2013-05-04,8,9,0,8
126,u01,2013-05-07,0,0,6,0
127,u01,2013-05-08,6,7,3,6
128,u01,2013-05-09,3,4,7,3
129,u01,2013-05-10,6,7,7,6
130,u01,2013-05-11,7,7,7,7
131,u01,2013-05-12,0,2,2,7
132,u01,2013-05-13,2,2,2,2
133,u01,2013-05-14,3,3,4,3
134,u01,2013-05-15,6,8,2,13
135,u01,2013-05-16,3,5,5,3
136,u01,2013-05-17,6,6,6,6
137,u01,2013-05-18,6,6,6,6
138,u01,2013-05-19,6,6,7,7
139,u01,2013-05-20,8,8,8,8
140,u01,2013-05-21,8,8,8,8
141,u01,2013-05-22,9,9,9,9
142,u01,2013-05-23,9,3,4,9
143,u01,2013-05-24,9,10,0,10
144,u01,2013-05-25,1,2,2,1
145,u01,2013-05-26,5,5,5,5
146,u01,2013-05-27,5,5,10,5
147,u01,2013-05-28,4,6,7,11
148,u01,2013-05-29,7,6,0,8
149,u02,2013-03-24,6,2,3,5
150,u02,2013-03-25,3,3,3,3
151,u02,2013-03-26,3,3,22,3
152,u02,2013-03-27,22,31,29,34
153,u02,2013-03-28,21,24,28,22
154,u02,2013-03-29,19,22,16,19
155,u02,2013-03-30,16,18,19,17
156,u02,2013-03-31,21,27,28,21
157,u02,2013-04-01,18,25,12,23
158,u02,2013-04-02,12,19,12,14
159,u02,2013-04-03,15,18,19,16
160,u02,2013-04-04,22,28,12,24
161,u02,2013-04-05,13,21,12,13
162,u02,2013-04-06,16,18,21,15
163,u02,2013-04-07,12,16,16,24
164,u02,2013-04-08,3,13,13,20
165,u02,2013-04-09,2,10,11,15
166,u02,2013-04-10,14,14,14,14
167,u02,2013-04-11,7,10,9,17
168,u02,2013-04-12,12,17,15,11
169,u02,2013-04-13,9,12,19,9
170,u02,2013-04-14,7,12,9,29
171,u02,2013-04-15,3,18,14,20
172,u02,2013-04-16,6,11,13,16
173,u02,2013-04-17,18,20,20,18
174,u02,2013-04-18,2,7,14,21
175,u02,2013-04-19,6,10,12,13
176,u02,2013-04-20,10,14,22,15
177,u02,2013-04-21,16,24,15,16
178,u02,2013-04-22,16,20,24,19
179,u02,2013-04-23,15,21,27,33
180,u02,2013-04-24,8,11,11,8
181,u02,2013-04-25,14,16,20,14
182,u02,2013-04-26,3,13,10,21
183,u02,2013-04-27,9,16,9,18
184,u02,2013-04-28,13,11,18,12
185,u02,2013-04-29,7,15,24,18
186,u02,2013-04-30,1,16,20,23
187,u02,2013-05-01,7,14,14,20
188,u02,2013-05-02,6,9,9,21
189,u02,2013-05-03,8,13,16,8
190,u02,2013-05-04,7,11,15,8
191,u02,2013-05-05,15,6,9,15
192,u02,2013-05-06,9,13,12,9
193,u02,2013-05-07,11,19,12,25
194,u02,2013-05-08,10,12,13,30
195,u02,2013-05-09,18,10,15,17
196,u02,2013-05-10,14,15,16,14
197,u02,2013-05-11,19,10,10,18
198,u02,2013-05-12,15,20,10,15
199,u02,2013-05-13,9,14,19,17
200,u02,2013-05-14,20,20,26,21
201,u02,2013-05-15,4,22,17,26
202,u02,2013-05-16,6,13,14,11
203,u02,2013-05-17,15,16,11,15
204,u02,2013-05-18,16,16,17,15
205,u02,2013-05-19,17,17,26,17
206,u02,2013-05-20,12,16,23,21
207,u02,2013-05-21,8,15,11,16
208,u02,2013-05-22,8,15,14,21
209,u02,2013-05-23,13,15,16,13
210,u02,2013-05-24,12,17,16,29
211,u02,2013-05-25,17,18,21,18
212,u02,2013-05-26,10,14,15,11
213,u02,2013-05-27,13,24,16,19
214,u02,2013-05-28,6,9,20,20
215,u02,2013-05-29,14,14,12,15
216,u02,2013-05-30,5,13,15,13
217,u02,2013-05-31,4,13,13,11
218,u02,2013-06-01,0,0,0,17
219,u03,2013-03-24,9,9,8,5
220,u03,2013-03-25,8,8,8,8
221,u03,2013-03-26,8,10,11,8
222,u03,2013-03-27,11,13,17,11
223,u03,2013-03-28,12,14,13,12
224,u03,2013-03-29,11,14,8,11
225,u03,2013-03-30,9,11,12,12
226,u03,2013-03-31,11,11,17,24
227,u03,2013-04-01,13,16,12,15
228,u03,2013-04-02,12,12,12,12
229,u03,2013-04-03,1,3,2,1
230,u03,2013-04-04,5,6,6,6
231,u03,2013-04-05,5,7,7,6
232,u03,2013-04-06,7,8,6,7
233,u03,2013-04-07,6,8,8,9
234,u03,2013-04-08,7,8,7,8
235,u03,2013-04-09,7,7,7,7
236,u03,2013-04-10,7,8,7,7
237,u03,2013-04-11,7,8,7,7
238,u03,2013-04-12,6,7,7,7
239,u03,2013-04-13,7,9,16,7
240,u03,2013-04-14,10,11,27,10
241,u03,2013-04-15,11,12,11,22
242,u03,2013-04-16,13,14,13,15
243,u03,2013-04-17,13,14,13,13
244,u03,2013-04-18,13,13,13,14
245,u03,2013-04-19,13,13,0,13
246,u03,2013-04-20,0,4,5,0
247,u03,2013-04-21,4,7,17,5
248,u03,2013-04-22,9,27,20,14
249,u03,2013-04-23,12,13,13,18
250,u03,2013-04-24,12,12,12,12
251,u03,2013-04-25,3,8,6,3
252,u03,2013-04-26,6,24,7,6
253,u03,2013-04-27,7,7,7,7
254,u03,2013-04-28,7,14,11,7
255,u03,2013-04-29,6,11,12,14
256,u03,2013-04-30,6,7,8,6
257,u03,2013-05-01,6,7,7,7
258,u03,2013-05-02,7,7,8,7
259,u03,2013-05-03,6,6,6,6
260,u03,2013-05-04,6,6,6,6
261,u03,2013-05-05,6,6,8,6
262,u03,2013-05-06,7,17,10,10
263,u03,2013-05-07,9,9,2,9
264,u03,2013-05-08,2,2,2,2
265,u03,2013-05-09,2,2,2,2
266,u03,2013-05-10,2,3,2,2
267,u03,2013-05-11,2,2,2,2
268,u03,2013-05-12,2,2,5,2
269,u03,2013-05-13,5,6,5,8
270,u03,2013-05-14,4,4,13,19
271,u03,2013-05-15,5,12,8,5
272,u03,2013-05-16,9,9,0,9
273,u03,2013-05-21,0,7,5,0
274,u03,2013-05-22,5,5,5,5
275,u04,2013-03-24,8,8,8,6
276,u04,2013-03-25,8,8,8,8
277,u04,2013-03-26,8,8,15,8
278,u04,2013-03-27,9,11,11,9
279,u04,2013-03-28,12,14,12,12
280,u04,2013-03-29,12,19,8,13
281,u04,2013-03-30,8,8,11,8
282,u04,2013-03-31,10,20,9,10
283,u04,2013-04-01,10,11,11,9
284,u04,2013-04-02,11,13,13,11
285,u04,2013-04-03,13,13,13,13
286,u04,2013-04-04,15,15,15,15
287,u04,2013-04-05,15,19,6,15
288,u04,2013-04-06,6,8,8,6
289,u04,2013-04-07,8,21,13,8
290,u04,2013-04-08,1,9,7,6
291,u04,2013-04-09,2,7,7,8
292,u04,2013-04-10,7,10,9,8
293,u04,2013-04-11,2,3,3,9
294,u04,2013-04-12,3,8,8,3
295,u04,2013-04-13,3,3,3,3
296,u04,2013-04-14,3,3,3,3
297,u04,2013-04-15,3,4,4,3
298,u04,2013-04-16,13,19,12,21
299,u04,2013-04-17,13,16,2,12
300,u04,2013-04-18,2,2,2,2
301,u04,2013-04-19,2,2,5,3
302,u04,2013-04-20,5,5,5,5
303,u04,2013-04-21,5,5,5,5
304,u04,2013-04-22,5,5,8,5
305,u04,2013-04-23,9,14,12,10
306,u04,2013-04-24,13,14,14,13
307,u04,2013-04-25,14,14,14,14
308,u04,2013-04-26,14,14,14,14
309,u04,2013-04-27,14,14,15,14
310,u04,2013-04-28,15,21,18,15
311,u04,2013-04-29,17,17,17,17
312,u04,2013-04-30,17,23,19,17
313,u04,2013-05-01,18,29,28,18
314,u04,2013-05-02,28,28,28,28
315,u04,2013-05-03,28,29,28,28
316,u04,2013-05-04,28,28,28,28
317,u04,2013-05-05,28,28,29,28
318,u04,2013-05-06,2,6,11,2
319,u04,2013-05-07,12,28,2,15
320,u04,2013-05-08,3,2,2,4
321,u04,2013-05-09,2,2,2,2
322,u04,2013-05-10,2,5,3,2
323,u04,2013-05-11,3,3,3,3
324,u04,2013-05-12,2,2,2,4
325,u04,2013-05-13,3,8,3,2
326,u04,2013-05-14,2,2,2,2
327,u04,2013-05-15,2,5,5,7
328,u04,2013-05-16,2,2,2,4
329,u04,2013-05-17,2,2,2,2
330,u04,2013-05-18,2,2,2,2
331,u04,2013-05-19,2,2,2,2
332,u04,2013-05-20,2,2,2,2
333,u04,2013-05-21,2,2,2,2
334,u04,2013-05-22,2,2,2,2
335,u04,2013-05-23,2,0,0,2
336,u05,2013-03-24,5,5,5,8
337,u05,2013-03-25,5,5,5,5
338,u05,2013-03-26,5,6,12,5
339,u05,2013-03-27,7,11,7,8
340,u05,2013-03-28,7,9,9,7
341,u05,2013-03-29,9,9,13,9
342,u05,2013-03-30,5,5,7,8
343,u05,2013-03-31,10,10,6,10
344,u05,2013-04-01,10,10,10,12
345,u05,2013-04-02,11,11,11,11
346,u05,2013-04-03,11,12,14,11
347,u05,2013-04-04,15,15,15,18
348,u05,2013-04-05,15,18,6,15
349,u05,2013-04-06,6,6,6,6
350,u05,2013-04-07,6,6,9,6
351,u05,2013-04-08,9,14,10,9
352,u05,2013-04-09,7,9,10,9
353,u05,2013-04-10,5,7,10,5
354,u05,2013-04-11,8,8,18,15
355,u05,2013-04-12,7,9,10,7
356,u05,2013-04-13,7,8,8,8
357,u05,2013-04-14,8,16,7,8
358,u05,2013-04-15,7,7,9,7
359,u05,2013-04-16,7,7,7,7
360,u05,2013-04-17,7,7,5,7
361,u05,2013-04-18,5,5,5,5
362,u05,2013-04-19,5,5,6,5
363,u05,2013-04-20,0,7,12,5
364,u05,2013-04-21,5,5,10,7
365,u05,2013-04-22,6,14,16,12
366,u05,2013-04-23,7,7,5,12
367,u05,2013-04-24,5,5,5,5
368,u05,2013-04-25,5,8,8,5
369,u05,2013-04-26,2,7,9,2
370,u05,2013-04-27,6,9,6,6
371,u05,2013-04-28,6,10,14,6
372,u05,2013-04-29,5,12,13,5
373,u05,2013-04-30,7,7,8,12
374,u05,2013-05-01,8,8,8,8
375,u05,2013-05-02,8,8,8,8
376,u05,2013-05-03,4,4,6,8
377,u05,2013-05-04,4,4,5,9
378,u05,2013-05-05,5,5,5,5
379,u05,2013-05-06,5,8,6,9
380,u05,2013-05-07,6,6,0,6
381,u05,2013-05-08,0,9,8,0
382,u05,2013-05-09,7,7,7,8
383,u05,2013-05-10,7,7,8,7
384,u05,2013-05-11,8,8,8,8
385,u05,2013-05-12,8,8,8,8
386,u05,2013-05-13,5,10,7,12
387,u05,2013-05-14,7,7,7,7
388,u05,2013-05-15,3,11,10,1
389,u05,2013-05-16,7,7,7,7
390,u05,2013-05-17,7,7,0,7
391,u05,2013-05-18,0,2,2,0
392,u05,2013-05-19,2,2,4,2
393,u05,2013-05-20,4,4,4,4
394,u05,2013-05-21,0,2,15,4
395,u05,2013-05-22,7,10,8,11
396,u05,2013-05-23,8,8,8,8
397,u05,2013-05-24,0,0,4,0
398,u05,2013-05-25,4,0,0,4
399,u05,2013-05-26,0,0,1,0
400,u05,2013-05-27,7,7,7,9
401,u05,2013-05-28,0,5,14,7
402,u05,2013-05-29,6,13,0,19
403,u07,2013-03-24,7,7,7,8
404,u07,2013-03-25,7,7,7,7
405,u07,2013-03-26,7,8,11,7
406,u07,2013-03-27,11,13,13,22
407,u07,2013-03-28,13,15,14,14
408,u07,2013-03-29,14,15,15,14
409,u07,2013-03-30,20,20,20,18
410,u07,2013-03-31,21,20,29,20
411,u07,2013-04-01,12,15,13,29
412,u07,2013-04-02,18,8,10,14
413,u07,2013-04-03,14,14,14,15
414,u07,2013-04-04,14,14,14,14
415,u07,2013-04-05,18,19,16,20
416,u07,2013-04-06,4,4,5,3
417,u07,2013-04-07,5,5,5,5
418,u07,2013-04-08,5,5,2,5
419,u07,2013-04-09,2,3,3,2
420,u07,2013-04-10,3,5,5,3
421,u07,2013-04-11,8,9,9,8
422,u07,2013-04-12,12,12,12,12
423,u07,2013-04-13,12,12,13,12
424,u07,2013-04-14,13,13,13,13
425,u07,2013-04-15,6,11,22,13
426,u07,2013-04-16,12,13,12,11
427,u07,2013-04-17,13,13,13,13
428,u07,2013-04-18,9,10,12,16
429,u07,2013-04-19,10,14,12,10
430,u07,2013-04-20,9,9,10,18
431,u07,2013-04-21,11,13,13,14
432,u07,2013-04-22,13,16,17,16
433,u07,2013-04-23,13,13,14,21
434,u07,2013-04-24,14,16,14,14
435,u07,2013-04-25,13,13,13,20
436,u07,2013-04-26,13,13,15,13
437,u07,2013-04-27,15,15,15,16
438,u07,2013-04-28,14,14,17,14
439,u07,2013-04-29,9,22,22,23
440,u07,2013-04-30,9,9,12,22
441,u07,2013-05-01,12,13,12,12
442,u07,2013-05-02,12,11,11,12
443,u07,2013-05-03,11,11,11,11
444,u07,2013-05-04,11,11,11,12
445,u07,2013-05-05,11,11,11,11
446,u07,2013-05-06,11,11,11,11
447,u07,2013-05-07,12,12,18,12
448,u07,2013-05-08,4,5,0,29
449,u07,2013-05-09,0,1,2,0
450,u07,2013-05-10,2,2,2,2
451,u07,2013-05-11,2,2,4,2
452,u07,2013-05-12,4,4,6,4
453,u07,2013-05-13,7,11,10,8
454,u07,2013-05-14,8,8,15,11
455,u07,2013-05-15,0,0,0,16
456,u08,2013-03-24,8,7,7,8
457,u08,2013-03-25,7,7,7,7
458,u08,2013-03-26,7,7,9,7
459,u08,2013-03-27,6,19,7,18
460,u08,2013-03-28,5,13,18,9
461,u08,2013-03-29,14,17,18,16
462,u08,2013-03-30,19,22,21,19
463,u08,2013-03-31,19,13,23,19
464,u08,2013-04-01,22,33,22,21
465,u08,2013-04-02,22,26,29,24
466,u08,2013-04-03,19,22,24,33
467,u08,2013-04-04,21,27,27,27
468,u08,2013-04-05,24,27,26,28
469,u08,2013-04-06,9,13,17,7
470,u08,2013-04-07,12,16,22,18
471,u08,2013-04-08,16,20,21,21
472,u08,2013-04-09,18,22,23,21
473,u08,2013-04-10,22,24,24,24
474,u08,2013-04-11,24,24,26,24
475,u08,2013-04-12,26,29,29,25
476,u08,2013-04-13,30,31,38,31
477,u08,2013-04-14,34,39,16,39
478,u08,2013-04-15,15,28,18,19
479,u08,2013-04-16,16,21,18,17
480,u08,2013-04-17,17,24,21,19
481,u08,2013-04-18,20,20,29,20
482,u08,2013-04-19,20,24,26,26
483,u08,2013-04-20,24,23,32,27
484,u08,2013-04-21,28,28,25,26
485,u08,2013-04-22,24,27,35,24
486,u08,2013-04-23,29,28,29,37
487,u08,2013-04-24,28,31,35,33
488,u08,2013-04-25,35,34,37,31
489,u08,2013-04-26,34,39,37,31
490,u08,2013-04-27,27,34,33,31
491,u08,2013-04-28,28,32,16,31
492,u08,2013-04-29,10,14,27,12
493,u08,2013-04-30,26,22,21,29
494,u08,2013-05-01,20,23,26,21
495,u08,2013-05-02,25,28,25,26
496,u08,2013-05-03,25,28,30,25
497,u08,2013-05-04,27,31,17,27
498,u08,2013-05-05,16,19,27,19
499,u08,2013-05-06,12,17,30,20
500,u08,2013-05-07,20,22,23,22
501,u08,2013-05-08,23,28,24,25
502,u08,2013-05-09,24,27,27,25
503,u08,2013-05-10,25,29,25,25
504,u08,2013-05-11,23,30,26,24
505,u08,2013-05-12,25,25,23,26
506,u08,2013-05-13,24,24,23,30
507,u08,2013-05-14,25,26,29,26
508,u08,2013-05-15,24,28,25,27
509,u08,2013-05-16,23,27,15,25
510,u08,2013-05-17,13,14,16,14
511,u08,2013-05-18,13,13,13,13
512,u08,2013-05-19,13,13,21,13
513,u08,2013-05-20,7,11,17,27
514,u08,2013-05-21,14,17,19,20
515,u08,2013-05-22,17,19,22,17
516,u08,2013-05-23,23,12,16,23
517,u08,2013-05-24,16,17,17,17
518,u08,2013-05-25,19,21,20,18
519,u08,2013-05-26,20,3,3,20
520,u08,2013-05-27,17,17,9,21
521,u08,2013-05-28,20,20,20,24
522,u08,2013-05-29,34,0,0,30
523,u09,2013-03-24,5,5,5,5
524,u09,2013-03-25,5,5,5,5
525,u09,2013-03-26,5,6,12,5
526,u09,2013-03-27,5,24,11,15
527,u09,2013-03-28,12,19,11,12
528,u09,2013-03-29,14,20,15,14
529,u09,2013-03-30,15,15,15,15
530,u09,2013-03-31,15,15,0,15
531,u09,2013-04-01,0,10,13,0
532,u09,2013-04-02,9,6,6,9
533,u09,2013-04-03,4,18,13,7
534,u09,2013-04-04,1,9,7,14
535,u09,2013-04-05,7,9,6,7
536,u09,2013-04-06,2,3,6,2
537,u09,2013-04-07,7,7,8,7
538,u09,2013-04-08,8,14,11,8
539,u09,2013-04-09,11,14,15,16
540,u09,2013-04-10,5,7,8,5
541,u09,2013-04-11,8,11,11,8
542,u09,2013-04-12,10,16,22,10
543,u09,2013-04-13,17,20,18,17
544,u09,2013-04-14,15,15,15,15
545,u09,2013-04-15,0,4,5,0
546,u09,2013-04-16,7,11,11,7
547,u09,2013-04-17,11,15,4,11
548,u09,2013-04-18,4,4,6,4
549,u09,2013-04-19,10,15,8,10
550,u09,2013-04-20,8,9,11,8
551,u09,2013-04-21,11,11,14,11
552,u09,2013-04-22,12,13,5,14
553,u09,2013-04-23,7,10,14,16
554,u09,2013-04-24,7,10,9,7
555,u09,2013-04-25,8,10,10,8
556,u09,2013-04-26,4,7,4,12
557,u09,2013-04-27,3,5,5,3
558,u09,2013-04-28,5,8,12,5
559,u09,2013-04-29,5,9,8,6
560,u09,2013-04-30,5,8,7,19
561,u09,2013-05-01,8,10,9,8
562,u09,2013-05-02,3,9,4,10
563,u09,2013-05-03,8,9,10,10
564,u09,2013-05-04,9,9,9,9
565,u09,2013-05-05,9,9,9,9
566,u09,2013-05-06,9,9,12,9
567,u09,2013-05-07,3,7,8,8
568,u09,2013-05-08,7,10,6,14
569,u09,2013-05-09,9,10,13,9
570,u09,2013-05-10,13,24,5,16
571,u09,2013-05-11,5,5,5,5
572,u09,2013-05-12,6,6,6,6
573,u09,2013-05-13,0,7,7,6
574,u09,2013-05-14,7,8,9,7
575,u09,2013-05-15,9,21,7,10
576,u09,2013-05-16,7,7,7,11
577,u09,2013-05-17,8,8,8,8
578,u09,2013-05-18,8,8,8,8
579,u09,2013-05-19,1,3,3,1
580,u09,2013-05-20,3,4,4,3
581,u09,2013-05-21,0,3,4,0
582,u09,2013-05-22,5,13,14,5
583,u09,2013-05-23,13,13,13,13
584,u09,2013-05-24,1,2,2,13
585,u09,2013-05-25,2,2,2,2
586,u09,2013-05-26,3,3,3,3
587,u09,2013-05-27,1,3,3,3
588,u09,2013-05-28,4,4,10,4
589,u09,2013-05-29,15,19,12,18
590,u09,2013-05-30,4,0,2,4
591,u09,2013-05-31,3,3,0,3
592,u09,2013-06-01,0,0,4,0
593,u09,2013-06-02,4,5,5,4
594,u09,2013-06-03,5,5,0,5
595,u10,2013-03-24,10,6,5,7
596,u10,2013-03-25,3,3,3,3
597,u10,2013-03-26,3,3,5,3
598,u10,2013-03-27,5,9,7,5
599,u10,2013-03-28,5,6,6,6
600,u10,2013-03-29,7,8,8,7
601,u10,2013-03-30,9,10,8,10
602,u10,2013-03-31,5,6,6,6
603,u10,2013-04-01,7,9,8,7
604,u10,2013-04-02,7,7,7,7
605,u10,2013-04-03,2,2,3,3
606,u10,2013-04-04,3,3,6,3
607,u10,2013-04-05,5,6,6,5
608,u10,2013-04-06,6,7,6,6
609,u10,2013-04-07,7,7,10,7
610,u10,2013-04-08,7,8,10,9
611,u10,2013-04-09,9,13,11,9
612,u10,2013-04-10,11,11,11,11
613,u10,2013-04-11,10,10,20,11
614,u10,2013-04-12,8,10,13,8
615,u10,2013-04-13,11,12,12,11
616,u10,2013-04-14,11,12,12,11
617,u10,2013-04-15,10,12,12,10
618,u10,2013-04-16,12,15,18,13
619,u10,2013-04-17,13,13,15,13
620,u10,2013-04-18,15,16,21,15
621,u10,2013-04-19,15,17,19,16
622,u10,2013-04-20,15,16,20,18
623,u10,2013-04-21,13,13,13,13
624,u10,2013-04-22,11,14,13,11
625,u10,2013-04-23,13,13,13,13
626,u10,2013-04-24,15,16,15,15
627,u10,2013-04-25,14,15,19,14
